# Visually similar / commonly confused kanji pairs.
# One pair per line, tab-separated. Order within a pair doesn't matter; duplicates ignored.
# Lines starting with # and blank lines are ignored.
# Pairs only produce edges when both kanji appear (in different words) in the user's word list.
大	太
大	犬
大	天
天	夫
夫	失
日	目
日	白
日	旦
日	田
日	早
日	口
本	木
本	末
本	未
末	未
木	未
木	末
木	米
学	字
学	覚
生	牛
生	先
牛	午
先	失
校	枝
校	較
高	髙
食	飲
食	飯
食	良
食	館
朝	潮
時	特
時	持
時	待
時	寺
持	待
寺	待
計	針
切	功
切	初
初	折
折	析
間	問
間	門
聞	問
聞	門
今	令
今	会
会	全
全	金
毎	海
毎	梅
田	由
田	申
田	甲
田	男
田	町
人	入
入	八
土	士
土	工
王	玉
王	主
玉	主
右	石
右	古
古	石
午	牛
体	休
体	本
名	各
各	路
各	格
各	略
雨	両
雨	南
雨	雪
雨	雲
雪	雲
雷	電
雷	霊
夕	多
多	名
言	信
語	話
読	続
書	昼
書	画
近	返
近	辺
辺	込
週	習
週	過
新	親
新	薪
心	必
水	氷
水	永
氷	永
火	灰
木	林
林	森
山	出
中	申
口	囗
車	軍
車	東
東	束
何	可
住	注
住	往
住	柱
注	柱
青	清
青	晴
青	請
晴	清
晴	情
半	平
半	羊
羊	洋
羊	美
味	未
味	末
回	囲
回	四
五	互
万	方
万	力
力	刀
七	匕
九	丸
九	力
小	少
正	止
止	歩
歩	止
神	申
神	紳
頭	豆
豆	豈
豈	豊
道	導
道	違
帰	掃
帰	婦
夜	液
夜	夢
立	位
立	音
音	章
気	汽
事	書
社	祝
社	礼
祝	礼
祝	祈
分	別
町	丁
来	米
